group,content_type,content_count,outgoing_relation_count,incoming_reference_count,code_consumer_count,exact_id_consumer_count,code_systems,content_csv,fields_csv,outgoing_relations_csv,incoming_relations_csv,code_consumers_csv,type_document
items,SaleItem,4,4,17,6,0,services:buildings; services:character; services:infrastructure,docs_final/content-db/csv/items/sale-item.csv,docs_final/content-db/fields/items/sale-item.csv,docs_final/content-db/relations/items/sale-item.csv,docs_final/content-db/incoming/items/sale-item.csv,docs_final/content-db/code-consumers/items/sale-item.csv,docs_final/content-db/types/items/sale-item/README.md
events-campaign,SeasonalWorldEventDefinitionSO,28,112,0,2,0,services:run,docs_final/content-db/csv/events-campaign/seasonal-world-event.csv,docs_final/content-db/fields/events-campaign/seasonal-world-event.csv,docs_final/content-db/relations/events-campaign/seasonal-world-event.csv,docs_final/content-db/incoming/events-campaign/seasonal-world-event.csv,docs_final/content-db/code-consumers/events-campaign/seasonal-world-event.csv,docs_final/content-db/types/events-campaign/seasonal-world-event/README.md
events-campaign,ServiceIncidentDefinitionSO,8,24,0,5,2,services:run,docs_final/content-db/csv/events-campaign/service-incident.csv,docs_final/content-db/fields/events-campaign/service-incident.csv,docs_final/content-db/relations/events-campaign/service-incident.csv,docs_final/content-db/incoming/events-campaign/service-incident.csv,docs_final/content-db/code-consumers/events-campaign/service-incident.csv,docs_final/content-db/types/events-campaign/service-incident/README.md
production-facilities,ServiceProcessSO,5,1,0,4,0,models:rooms; services:items; services:servicerooms,docs_final/content-db/csv/production-facilities/service-process.csv,docs_final/content-db/fields/production-facilities/service-process.csv,docs_final/content-db/relations/production-facilities/service-process.csv,docs_final/content-db/incoming/production-facilities/service-process.csv,docs_final/content-db/code-consumers/production-facilities/service-process.csv,docs_final/content-db/types/production-facilities/service-process/README.md
characters-traits,SpeciesCultureDefinitionSO,10,40,0,6,0,services:character; services:offense; services:survival,docs_final/content-db/csv/characters-traits/species-culture.csv,docs_final/content-db/fields/characters-traits/species-culture.csv,docs_final/content-db/relations/characters-traits/species-culture.csv,docs_final/content-db/incoming/characters-traits/species-culture.csv,docs_final/content-db/code-consumers/characters-traits/species-culture.csv,docs_final/content-db/types/characters-traits/species-culture/README.md
characters-traits,SpeciesLifeHistorySO,10,0,10,2,0,models:species,docs_final/content-db/csv/characters-traits/species-life-history.csv,docs_final/content-db/fields/characters-traits/species-life-history.csv,docs_final/content-db/relations/characters-traits/species-life-history.csv,docs_final/content-db/incoming/characters-traits/species-life-history.csv,docs_final/content-db/code-consumers/characters-traits/species-life-history.csv,docs_final/content-db/types/characters-traits/species-life-history/README.md
items,StockInfo,11,17,0,2,0,services:infrastructure,docs_final/content-db/csv/items/stock-info.csv,docs_final/content-db/fields/items/stock-info.csv,docs_final/content-db/relations/items/stock-info.csv,docs_final/content-db/incoming/items/stock-info.csv,docs_final/content-db/code-consumers/items/stock-info.csv,docs_final/content-db/types/items/stock-info/README.md
combat-health-world,SurgicalProcedureSO,47,130,0,24,10,models:medical; services:character; services:economy; services:infrastructure; services:medical; views,docs_final/content-db/csv/combat-health-world/surgical-procedure.csv,docs_final/content-db/fields/combat-health-world/surgical-procedure.csv,docs_final/content-db/relations/combat-health-world/surgical-procedure.csv,docs_final/content-db/incoming/combat-health-world/surgical-procedure.csv,docs_final/content-db/code-consumers/combat-health-world/surgical-procedure.csv,docs_final/content-db/types/combat-health-world/surgical-procedure/README.md
production-facilities,TextileMaterialDefinitionSO,12,12,0,12,0,models:economy; services:economy; services:infrastructure,docs_final/content-db/csv/production-facilities/textile-material.csv,docs_final/content-db/fields/production-facilities/textile-material.csv,docs_final/content-db/relations/production-facilities/textile-material.csv,docs_final/content-db/incoming/production-facilities/textile-material.csv,docs_final/content-db/code-consumers/production-facilities/textile-material.csv,docs_final/content-db/types/production-facilities/textile-material/README.md
events-campaign,WeatherFrontDefinitionSO,6,0,0,14,13,models:coresession; services:infrastructure; services:survival; views,docs_final/content-db/csv/events-campaign/weather-front.csv,docs_final/content-db/fields/events-campaign/weather-front.csv,docs_final/content-db/relations/events-campaign/weather-front.csv,docs_final/content-db/incoming/events-campaign/weather-front.csv,docs_final/content-db/code-consumers/events-campaign/weather-front.csv,docs_final/content-db/types/events-campaign/weather-front/README.md
combat-health-world,WildlifeSpeciesSO,18,69,39,19,17,services:economy; services:infrastructure; services:medical; services:offense; services:run; services:wildlife,docs_final/content-db/csv/combat-health-world/wildlife-species.csv,docs_final/content-db/fields/combat-health-world/wildlife-species.csv,docs_final/content-db/relations/combat-health-world/wildlife-species.csv,docs_final/content-db/incoming/combat-health-world/wildlife-species.csv,docs_final/content-db/code-consumers/combat-health-world/wildlife-species.csv,docs_final/content-db/types/combat-health-world/wildlife-species/README.md
