"recipe_id","flow_role","solid_inputs","outputs","direct_wu","processing_hours","clean_water_kg","wastewater_kg","expected_output_units","output_mass_g","output_market_gold","transform_residual_g","final_value_source","throughput_formula","price_formula","static_status"
"recipe:fermented-liquor","Transform","material:malt×2","material:fermented-liquor×2@1","34","12","0.7","0","2","1000","28","400","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:fermented-pickle","Transform","material:brined-vegetable×2 | craft:fermented-vinegar×1","food:fermented-pickle×2@1","37","12","0.6","1","2","900","70","100","production-physical-bom-ledger.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:fermented-vinegar","Transform","material:fermented-liquor×1","craft:fermented-vinegar×2@1","20","0","0.7","0","2","800","24","400","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:fresh-curd","Transform","material:curd×1","food:fresh-curd×2@1","20","0","0","0","2","450","24","0","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:garden-meal","Transform","resource:twilight-grain×1 | resource:ember-root×1 | resource:cave-mushroom×1","food:garden-meal×2@1","42","0","0.7","0.2","2","1500","24","50","production-physical-bom-ledger.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:gold-ingot","Transform","resource:gold-ore×2 | resource:coal×1","material:gold-ingot×1@1","18","0","0","0","1","1350","135","2050","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:gold-leaf","Transform","resource:gold-ore×1 | resource:dark-resin×1","craft:gold-ornament×1@1","28","0","0","0","1","400","79","1100","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:gold-ornament","Transform","material:gold-ingot×1 | resource:mana-crystal×1","craft:gold-ornament×1@1","32","0","0","0","1","400","79","1300","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:grain-porridge","Transform","resource:twilight-grain×6","food:grain-porridge×6@1","28","0","1.7","0.1","6","3600","24","100","production-physical-bom-ledger.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:grape-juice","Transform","resource:night-grape×3","material:grape-juice×2@1","28","0","0.1","0.05","2","750","22","50","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:grape-syrup","Transform","material:grape-juice×1","food:grape-syrup×2@1","20","0","0","0","2","350","20","25","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:hallucinogenic-distillate","Transform","resource:cave-mushroom×2 | material:alcohol×1","drug:hallucinogenic-distillate×1@1","22","0","0","0","1","900","37","100","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:hay-feed","Transform","resource:grass-straw×3 | resource:twilight-grain×1","feed:hay×3@1","22","0","0","0","3","588","18","2","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:herbal-poultice","Transform","resource:moonflower×1 | resource:shade-fiber×1","medicine:herbal-poultice×2@1","46","0","0.25","0","2","400","28","50","production-physical-bom-ledger.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:incinerate-animal","Sink","waste:animal-rot×1","none","6","0","0","0","0","0","0","n/a","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","terminal-sink"
"recipe:incinerate-forbidden","Sink","waste:forbidden-rot×1","none","6","0","0","0","0","0","0","n/a","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","terminal-sink"
"recipe:incinerate-mixed","Sink","waste:mixed-rot×1","none","6","0","0","0","0","0","0","n/a","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","terminal-sink"
"recipe:incinerate-plant","Sink","waste:plant-rot×1","none","6","0","0","0","0","0","0","n/a","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","terminal-sink"
"recipe:iron-ingot","Transform","resource:iron-ore×2 | resource:coal×1","material:iron-ingot×1@1","18","0","0","0","1","900","40","2300","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:iron-slag-block","Transform","resource:iron-ore×2","material:stone-block×1@1","16","0","0","0","1","1300","6","1100","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:jerky","Transform","material:salted-meat×2","food:jerky×2@1","20","0","0","0","2","900","36","400","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:lavish-meat","Transform","resource:meat×2 | material:cheese×1 | resource:night-grape×2","food:lavish-meat×2@1","54","0","0.3","0.25","2","2000","54","350","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:lavish-vegan","Transform","material:flour×2 | material:syrup×1 | resource:cave-mushroom×2 | resource:ember-root×1","food:lavish-vegan×2@1","58","0","0.3","0.25","2","1800","50","150","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:leather","Transform","resource:hide×2 | resource:saltstone×1","material:leather×2@1","22","0","0","0","2","900","22","1400","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:loot-appraisal","Transform","offense:unappraised-loot×10","offense:appraised-valuables×10@1","122","0","0","0","10","500","140","0","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:low-fuel-animal","Transform","waste:animal-rot×4 | resource:grass-straw×1","material:low-fuel×1@1","10","0","0","0","1","800","13","2080","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:low-fuel-manure","Transform","resource:manure×3 | resource:grass-straw×1","material:low-fuel×1@1","10","0","0","0","1","800","13","780","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:low-fuel-plant","Transform","waste:plant-rot×4 | resource:grass-straw×1","material:low-fuel×1@1","10","0","0","0","1","800","13","1680","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:low-fuel-rot","Transform","waste:mixed-rot×4 | resource:grass-straw×1","material:low-fuel×1@1","10","0","0","0","1","800","13","1880","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:malt","Transform","resource:twilight-grain×2","material:malt×2@1","16","0","0","0","2","700","12","0","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:malt-porridge","Transform","material:malt×1","food:malt-porridge×2@1","20","0","1.5","0","2","1100","16","750","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:mana-awakener","Transform","resource:moonflower×1 | resource:mana-crystal×1 | material:alchemical-solvent×1","drug:mana-awakener×1@1","28","0","0","0","1","650","232","80","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:material:barrel-steel","Transform","material:spring-steel×1 | material:steel-ingot×3","material:barrel-steel×2@1","48","0","0","0","2","4300","388","400","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:material:black-powder","Transform","material:charcoal×2 | resource:sulfur×2 | material:niter×4","material:black-powder×6@1","86","0","0","0","6","13200","78","-0","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:material:cartridge-paper","Transform","material:paper×2 | material:starch×1","material:cartridge-paper×6@1","94","0","0","0","6","1950","66","100","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:material:chain-mesh","Transform","material:iron-ingot×5","material:chain-mesh×2@1","28","0","0","0","2","4200","96","300","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:material:granulated-powder","Transform","material:black-powder×2 | material:paper×1","material:granulated-powder×6@1","98","0","0","0","6","5100","78","200","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:material:hardened-leather","Transform","material:leather×4 | resource:dark-resin×1","material:hardened-leather×2@1","22","0","0","0","2","1900","40","100","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:material:laminated-lumber","Transform","material:treated-lumber×2 | resource:dark-resin×5","material:laminated-lumber×2@1","22","0","0","0","2","3200","46","100","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:material:lead-ingot","Transform","resource:lead-ore×2 | material:charcoal×1","material:lead-ingot×1@1","30","0","0","0","1","2150","24","2000","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:material:lead-shot","Transform","material:lead-ingot×1","material:lead-shot×12@1","140","0","0","0","12","1800","84","350","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:material:mana-alloy","Transform","material:steel-ingot×2 | material:gold-ingot×2 | resource:mana-crystal×2","material:mana-alloy×2@1","64","0","0","0","2","4800","460","300","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:material:niter","Transform","resource:manure×8 | resource:clean-water×1","material:niter×2@1","36","0","0","0","2","4300","24","200","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:material:paper","Transform","material:lumber×3 | resource:clean-water×1","material:paper×4@1","68","0","0","0","4","3600","36","500","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:material:plate-blank","Transform","material:steel-ingot×5","material:plate-blank×2@1","28","0","0","0","2","4200","248","50","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:material:rope","Transform","resource:shade-fiber×15","material:rope×2@1","16","0","0","0","2","1800","14","-0","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:material:spring-steel","Transform","material:steel-ingot×4 | material:charcoal×2","material:spring-steel×2@1","46","0","0","0","2","4300","262","0","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:material:sterile-composite","Transform","material:cloth×4 | resource:mana-crystal×1 | resource:clean-water×3","material:sterile-composite×2@1","52","0","0","0","2","2400","212","250","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:meat-pie","Transform","material:dough×1 | material:seasoned-filling×1","food:meat-pie×2@1","24","0","0","0","2","1150","38","0","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:medical-vial","Transform","material:iron-ingot×1","container:medical-vial×30@1","160","0","0","0","30","900","120","0","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:medical:cross-lineage-medium","Transform","material:sterile-composite×1 | component:rune-conductor×1","medical:cross-lineage-medium×1@1","34","0","0","0","1","3400","476","200","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:medical:fertility-treatment","Transform","medicine:standard×1 | material:sterile-composite×1","medical:fertility-treatment×1@1","34","0","0","0","1","1400","159","100","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:medical:isolation-care-kit","Transform","medical:sterile-bandage×1 | medicine:antiseptic×1","medical:isolation-care-kit×1@1","34","0","0","0","1","700","58","80","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:medical:mana-core-case","Transform","component:rune-conductor×1 | component:precision-parts×1","medical:mana-core-case×1@1","34","0","0","0","1","1200","662","3350","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:medical:organ-preservation-canister","Transform","material:sterile-composite×1 | component:machine-parts×1","medical:organ-preservation-canister×1@1","32","0","0","0","1","3000","215","300","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:medical:organ-regeneration-scaffold","Transform","material:sterile-composite×2 | medicine:mycelial-culture-pack×1","medical:organ-regeneration-scaffold×1@1","34","0","0","0","1","2600","256","300","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:medical:regenerative-medium","Transform","medicine:advanced×1 | resource:clean-water×2","medical:regenerative-medium×2@1","50","0","0","0","2","2300","264","200","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:medical:rejuvenation-serum","Transform","medicine:standard×2 | material:sterile-composite×1 | resource:mana-crystal×1","medical:rejuvenation-serum×1@1","36","0","0","0","1","2000","370","150","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:medical:rune-hibernation-catalyst","Transform","component:rune-conductor×1 | material:sterile-composite×1","medical:rune-hibernation-catalyst×1@1","34","0","0","0","1","550","476","3050","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:medical:slime-coagulation-frame","Transform","textile:sterile-cloth×1 | material:alchemical-solvent×1","medical:slime-coagulation-frame×1@1","32","0","0","0","1","1150","70","150","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:medical:sterile-bandage","Transform","textile:sterile-cloth×1 | medicine:antiseptic×1","medical:sterile-bandage×2@1","48","0","0","0","2","1000","52","280","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:medical:sterile-mycelium-graft","Transform","textile:sterile-cloth×1 | resource:cave-mushroom×2","medical:sterile-mycelium-graft×1@1","28","0","0","0","1","1150","33","350","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:medical:trait-analysis-kit","Transform","material:sterile-composite×1 | material:paper×1","medical:trait-analysis-kit×1@1","32","0","0","0","1","1950","132","150","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:medical:trauma-care-kit","Transform","medicine:advanced×1 | material:paper×1","medical:trauma-care-kit×1@1","34","0","0","0","1","2200","264","200","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:medical:whole-body-regeneration-medium","Transform","medicine:advanced×4 | textile:sterile-cloth×4 | medicine:mycelial-culture-pack×2 | resource:mana-crystal×2 | resource:clean-water×8","medical:whole-body-regeneration-medium×1@1","40","0","0","0","1","14500","1443","1200","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:medicine:vaccine:blood-wasting","Transform","sample:antigen:blood-wasting×1 | medicine:advanced×1 | resource:clean-water×1","medicine:vaccine:blood-wasting×4@1","88","0","0","0","4","2800","300","100","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:medicine:vaccine:cave-flu","Transform","sample:antigen:cave-flu×1 | medicine:advanced×1 | resource:clean-water×1","medicine:vaccine:cave-flu×4@1","88","0","0","0","4","2800","300","100","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:medicine:vaccine:gut-rot","Transform","sample:antigen:gut-rot×1 | medicine:advanced×1 | resource:clean-water×1","medicine:vaccine:gut-rot×4@1","88","0","0","0","4","2800","300","100","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:medicine:vaccine:mana-pox","Transform","sample:antigen:mana-pox×1 | medicine:advanced×1 | resource:clean-water×1","medicine:vaccine:mana-pox×4@1","90","0","0","0","4","3000","304","100","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:medicine:vaccine:red-fever","Transform","sample:antigen:red-fever×1 | medicine:advanced×1 | resource:clean-water×1","medicine:vaccine:red-fever×4@1","88","0","0","0","4","2800","300","100","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:medicine:vaccine:slime-blight","Transform","sample:antigen:slime-blight×1 | medicine:advanced×1 | resource:clean-water×1","medicine:vaccine:slime-blight×4@1","88","0","0","0","4","2800","300","100","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:medicine:vaccine:spore-lung","Transform","sample:antigen:spore-lung×1 | medicine:advanced×1 | resource:clean-water×1","medicine:vaccine:spore-lung×4@1","88","0","0","0","4","2800","300","100","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:milling-flour","Transform","resource:twilight-grain×3","material:flour×2@1","10","0","0","0","2","600","12","450","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:moonflower-tea","Transform","resource:moonflower×1","drug:moonflower-tea×2@1","30","0","0.55","0.1","2","500","18","30","production-physical-bom-ledger.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:mushroom-soup","Transform","resource:cave-mushroom×2","food:mushroom-soup×2@1","28","0","0.95","0.1","2","1300","16","50","production-physical-bom-ledger.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:night-spirit","Transform","material:young-wine×2 | material:syrup×1","food:night-spirit×2@1","39","12","0","0","2","900","64","150","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:night-wine","Transform","material:young-wine×2","drug:night-wine×2@1","35","18","0","0","2","650","54","50","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:preserved-ration","Transform","material:ration-mixture×2 | material:starch×2","food:preserved-ration×3@1","26","0","0","0","3","1500","45","100","production-physical-bom-ledger.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:preserved-vegetable","Transform","material:brined-vegetable×1 | material:washed-vegetable×1 | craft:fermented-vinegar×1","food:preserved-vegetable×2@1","30","0","0","0","2","1100","54","250","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:ration-mixture","Transform","material:flour×2 | resource:saltstone×1","material:ration-mixture×2@1","34","0","0.1","0.1","2","1100","32","0","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:record:arcane-index","Transform","material:paper×2 | resource:rune-dust×1","record:arcane-index×1@1","30","0","0","0","1","1300","44","550","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:record:breeding-ledger","Transform","material:paper×3 | material:leather×1","record:breeding-ledger×1@1","30","0","0","0","1","1100","50","2050","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:record:career-ledger","Transform","material:paper×3 | material:leather×1","record:career-ledger×1@1","30","0","0","0","1","1100","50","2050","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:resin-balm","Transform","resource:dark-resin×1 | material:tallow×1 | resource:moonflower×1","craft:resin-balm×1@1","32","0","0","0","1","600","37","30","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:resource:clean-water","Source","none","resource:clean-water×8@1","10","0","0","0","8","4000","8","n/a","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","external-source-contract"
"recipe:resource:lead-ore","Source","none","resource:lead-ore×2@1","6","0","0","0","2","3700","4","n/a","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","external-source-contract"
"recipe:resource:sulfur","Source","none","resource:sulfur×2@1","6","0","0","0","2","3700","4","n/a","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","external-source-contract"
"recipe:ritual-reagent","Transform","resource:blood×2 | material:rot-toxin×1","craft:ritual-reagent×1@1","22","0","0","0","1","1100","31","100","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:roasted-meat","Transform","resource:meat×2","food:roasted-meat×2@1","20","0","0.15","0","2","1500","12","50","production-physical-bom-ledger.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:root-stew","Transform","resource:ember-root×2","food:root-stew×2@1","28","0","0.65","0.1","2","1400","18","50","production-physical-bom-ledger.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:rot-toxin","Transform","waste:forbidden-rot×1 | resource:bloodleaf×1","material:rot-toxin×1@1","20","0","0","0","1","200","16","600","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:rune-cold-suit","Transform","material:rune-leather×2 | resource:mana-crystal×1 | resource:rune-dust×1","equipment:rune-cold-suit×1@1","18","0","0","0","1","800","25","400","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:rune-leather","Transform","material:leather×2 | resource:mana-crystal×1 | resource:dark-resin×1","material:rune-leather×1@1","26","0","0","0","1","400","216","1050","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:salted-meat","Transform","resource:meat×3 | resource:saltstone×1","material:salted-meat×2@1","32","0","0.1","0.1","2","1300","26","1300","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:salted-meat-stew","Transform","material:salted-meat×1 | resource:ember-root×1","food:salted-meat-stew×2@1","24","0","0.6","0","2","1600","26","100","production-physical-bom-ledger.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:sawmill-lumber","Transform","resource:log×2","material:lumber×3@1","22","0","0","0","3","3600","15","0","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:seasoned-filling","Transform","resource:meat×2 | material:washed-vegetable×1","material:seasoned-filling×2@1","30","0","0","0","2","1300","26","550","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
"recipe:silage","Transform","resource:grass-straw×3 | resource:twilight-grain×1","feed:silage×3@1","50","12","0.2","0","3","690","27","100","serialized ItemDefinition/ProductionRecipe assets + production-recipe-contract.csv","effective-WU-per-day / direct-WU × available lanes","expected output units × authored unit price","mass-closed"
