schemaVersion,stableId,impactDomain,consumerKind,consumerStableId,metric,before,after,deltaStatus,rootCauseIds,formula
v27.mass.coupling.1,component:rune-purification-crystal,warehouse,BuildingStorageAbility,building:1802,capacity-grams,25000,25000,unchanged,,BuildingStorageAbility.maxStoredMassGrams
v27.mass.coupling.1,component:rune-purification-crystal,warehouse,BuildingStorageAbility,building:1802,eligible,1,1,unchanged,,allCategories || category == item.StockCategory
v27.mass.coupling.1,component:rune-purification-crystal,warehouse,BuildingStorageAbility,building:1802,units-fit,20,20,unchanged,,floor(maxStoredMassGrams/unitMassGrams)
v27.mass.coupling.1,component:rune-purification-crystal,warehouse,BuildingStorageAbility,building:1803,capacity-grams,25000,25000,unchanged,,BuildingStorageAbility.maxStoredMassGrams
v27.mass.coupling.1,component:rune-purification-crystal,warehouse,BuildingStorageAbility,building:1803,eligible,1,1,unchanged,,allCategories || category == item.StockCategory
v27.mass.coupling.1,component:rune-purification-crystal,warehouse,BuildingStorageAbility,building:1803,units-fit,20,20,unchanged,,floor(maxStoredMassGrams/unitMassGrams)
v27.mass.coupling.1,component:rune-purification-crystal,warehouse,BuildingStorageAbility,building:9508,capacity-grams,12500,12500,unchanged,,BuildingStorageAbility.maxStoredMassGrams
v27.mass.coupling.1,component:rune-purification-crystal,warehouse,BuildingStorageAbility,building:9508,eligible,0,0,unchanged,,allCategories || category == item.StockCategory
v27.mass.coupling.1,component:rune-purification-crystal,warehouse,BuildingStorageAbility,building:9508,units-fit,0,0,unchanged,,floor(maxStoredMassGrams/unitMassGrams)
v27.mass.coupling.1,component:rune-tuning-shield,ewu,V27EmbeddedWorkValueCalculator,component:rune-tuning-shield,acquisition-mewu,2863655,2863655,unchanged,,current/proposed immutable mass counterfactual
v27.mass.coupling.1,component:rune-tuning-shield,ewu,V27EmbeddedWorkValueCalculator,component:rune-tuning-shield,recoverable-mewu,1924075,1924075,unchanged,,floor(acquisition * salvage retention)
v27.mass.coupling.1,component:rune-tuning-shield,facility-output,BuildingProductionBufferAbility,building:8844|recipe:component:rune-tuning-shield|output:recipe:component:rune-tuning-shield/000/main/component:rune-tuning-shield,maximum-line-grams,2550,2550,unchanged,,maximum-output-factor ceil(quantity) * immutable definition unit grams
v27.mass.coupling.1,component:rune-tuning-shield,facility-output-buffer,BuildingProductionBufferAbility,building:8844|recipe:component:rune-tuning-shield,required-capacity-grams,10200,10200,unchanged,,projector maximum-factor physical batch grams * authored 2-4 cycle capacity
v27.mass.coupling.1,component:rune-tuning-shield,haul,ordinary-haul,nominal-25kg,target-max-units,4,4,unchanged,,"floor(class maximum grams/unit), capped by max stack"
v27.mass.coupling.1,component:rune-tuning-shield,haul,ordinary-haul,nominal-25kg,target-min-units,3,3,unchanged,,"ceil(class minimum grams/unit), capped by max stack"
v27.mass.coupling.1,component:rune-tuning-shield,market,V27 market projection,component:rune-tuning-shield,sale-rate,0.59971833229064941,0.59971833229064941,unchanged,,maximum nonnegative float whose sale credit does not exceed floor target
v27.mass.coupling.1,component:rune-tuning-shield,market,V27 market projection,component:rune-tuning-shield,unit-price-gold,955,955,unchanged,,"ceil(acquisition/3000), appraised=floor(sale-credit/3000)"
v27.mass.coupling.1,component:rune-tuning-shield,mass,ItemDefinitionSO,component:rune-tuning-shield,unit-grams,2550,2550,unchanged,,ItemDefinitionSO.UnitWeight/canonical semantic
v27.mass.coupling.1,component:rune-tuning-shield,stack,ItemDefinitionSO,component:rune-tuning-shield,max-stack-mass-grams,127500,127500,unchanged,,unit grams * ItemDefinitionSO.MaxStack
v27.mass.coupling.1,component:rune-tuning-shield,warehouse,BuildingStorageAbility,building:1009,capacity-grams,12500,12500,unchanged,,BuildingStorageAbility.maxStoredMassGrams
v27.mass.coupling.1,component:rune-tuning-shield,warehouse,BuildingStorageAbility,building:1009,eligible,0,0,unchanged,,allCategories || category == item.StockCategory
v27.mass.coupling.1,component:rune-tuning-shield,warehouse,BuildingStorageAbility,building:1009,units-fit,0,0,unchanged,,floor(maxStoredMassGrams/unitMassGrams)
v27.mass.coupling.1,component:rune-tuning-shield,warehouse,BuildingStorageAbility,building:1015,capacity-grams,12500,12500,unchanged,,BuildingStorageAbility.maxStoredMassGrams
v27.mass.coupling.1,component:rune-tuning-shield,warehouse,BuildingStorageAbility,building:1015,eligible,1,1,unchanged,,allCategories || category == item.StockCategory
v27.mass.coupling.1,component:rune-tuning-shield,warehouse,BuildingStorageAbility,building:1015,units-fit,4,4,unchanged,,floor(maxStoredMassGrams/unitMassGrams)
v27.mass.coupling.1,component:rune-tuning-shield,warehouse,BuildingStorageAbility,building:1018,capacity-grams,25000,25000,unchanged,,BuildingStorageAbility.maxStoredMassGrams
v27.mass.coupling.1,component:rune-tuning-shield,warehouse,BuildingStorageAbility,building:1018,eligible,0,0,unchanged,,allCategories || category == item.StockCategory
v27.mass.coupling.1,component:rune-tuning-shield,warehouse,BuildingStorageAbility,building:1018,units-fit,0,0,unchanged,,floor(maxStoredMassGrams/unitMassGrams)
v27.mass.coupling.1,component:rune-tuning-shield,warehouse,BuildingStorageAbility,building:1025,capacity-grams,12500,12500,unchanged,,BuildingStorageAbility.maxStoredMassGrams
v27.mass.coupling.1,component:rune-tuning-shield,warehouse,BuildingStorageAbility,building:1025,eligible,1,1,unchanged,,allCategories || category == item.StockCategory
v27.mass.coupling.1,component:rune-tuning-shield,warehouse,BuildingStorageAbility,building:1025,units-fit,4,4,unchanged,,floor(maxStoredMassGrams/unitMassGrams)
v27.mass.coupling.1,component:rune-tuning-shield,warehouse,BuildingStorageAbility,building:1028,capacity-grams,12500,12500,unchanged,,BuildingStorageAbility.maxStoredMassGrams
v27.mass.coupling.1,component:rune-tuning-shield,warehouse,BuildingStorageAbility,building:1028,eligible,1,1,unchanged,,allCategories || category == item.StockCategory
v27.mass.coupling.1,component:rune-tuning-shield,warehouse,BuildingStorageAbility,building:1028,units-fit,4,4,unchanged,,floor(maxStoredMassGrams/unitMassGrams)
v27.mass.coupling.1,component:rune-tuning-shield,warehouse,BuildingStorageAbility,building:1032,capacity-grams,12500,12500,unchanged,,BuildingStorageAbility.maxStoredMassGrams
v27.mass.coupling.1,component:rune-tuning-shield,warehouse,BuildingStorageAbility,building:1032,eligible,1,1,unchanged,,allCategories || category == item.StockCategory
v27.mass.coupling.1,component:rune-tuning-shield,warehouse,BuildingStorageAbility,building:1032,units-fit,4,4,unchanged,,floor(maxStoredMassGrams/unitMassGrams)
v27.mass.coupling.1,component:rune-tuning-shield,warehouse,BuildingStorageAbility,building:1033,capacity-grams,12500,12500,unchanged,,BuildingStorageAbility.maxStoredMassGrams
v27.mass.coupling.1,component:rune-tuning-shield,warehouse,BuildingStorageAbility,building:1033,eligible,0,0,unchanged,,allCategories || category == item.StockCategory
v27.mass.coupling.1,component:rune-tuning-shield,warehouse,BuildingStorageAbility,building:1033,units-fit,0,0,unchanged,,floor(maxStoredMassGrams/unitMassGrams)
v27.mass.coupling.1,component:rune-tuning-shield,warehouse,BuildingStorageAbility,building:1034,capacity-grams,12500,12500,unchanged,,BuildingStorageAbility.maxStoredMassGrams
v27.mass.coupling.1,component:rune-tuning-shield,warehouse,BuildingStorageAbility,building:1034,eligible,1,1,unchanged,,allCategories || category == item.StockCategory
v27.mass.coupling.1,component:rune-tuning-shield,warehouse,BuildingStorageAbility,building:1034,units-fit,4,4,unchanged,,floor(maxStoredMassGrams/unitMassGrams)
v27.mass.coupling.1,component:rune-tuning-shield,warehouse,BuildingStorageAbility,building:1036,capacity-grams,13500,13500,unchanged,,BuildingStorageAbility.maxStoredMassGrams
v27.mass.coupling.1,component:rune-tuning-shield,warehouse,BuildingStorageAbility,building:1036,eligible,0,0,unchanged,,allCategories || category == item.StockCategory
v27.mass.coupling.1,component:rune-tuning-shield,warehouse,BuildingStorageAbility,building:1036,units-fit,0,0,unchanged,,floor(maxStoredMassGrams/unitMassGrams)
v27.mass.coupling.1,component:rune-tuning-shield,warehouse,BuildingStorageAbility,building:1037,capacity-grams,27000,27000,unchanged,,BuildingStorageAbility.maxStoredMassGrams
v27.mass.coupling.1,component:rune-tuning-shield,warehouse,BuildingStorageAbility,building:1037,eligible,0,0,unchanged,,allCategories || category == item.StockCategory
v27.mass.coupling.1,component:rune-tuning-shield,warehouse,BuildingStorageAbility,building:1037,units-fit,0,0,unchanged,,floor(maxStoredMassGrams/unitMassGrams)
v27.mass.coupling.1,component:rune-tuning-shield,warehouse,BuildingStorageAbility,building:1050,capacity-grams,25000,25000,unchanged,,BuildingStorageAbility.maxStoredMassGrams
v27.mass.coupling.1,component:rune-tuning-shield,warehouse,BuildingStorageAbility,building:1050,eligible,1,1,unchanged,,allCategories || category == item.StockCategory
v27.mass.coupling.1,component:rune-tuning-shield,warehouse,BuildingStorageAbility,building:1050,units-fit,9,9,unchanged,,floor(maxStoredMassGrams/unitMassGrams)
v27.mass.coupling.1,component:rune-tuning-shield,warehouse,BuildingStorageAbility,building:1051,capacity-grams,12500,12500,unchanged,,BuildingStorageAbility.maxStoredMassGrams
v27.mass.coupling.1,component:rune-tuning-shield,warehouse,BuildingStorageAbility,building:1051,eligible,1,1,unchanged,,allCategories || category == item.StockCategory
v27.mass.coupling.1,component:rune-tuning-shield,warehouse,BuildingStorageAbility,building:1051,units-fit,4,4,unchanged,,floor(maxStoredMassGrams/unitMassGrams)
v27.mass.coupling.1,component:rune-tuning-shield,warehouse,BuildingStorageAbility,building:1052,capacity-grams,12500,12500,unchanged,,BuildingStorageAbility.maxStoredMassGrams
v27.mass.coupling.1,component:rune-tuning-shield,warehouse,BuildingStorageAbility,building:1052,eligible,0,0,unchanged,,allCategories || category == item.StockCategory
v27.mass.coupling.1,component:rune-tuning-shield,warehouse,BuildingStorageAbility,building:1052,units-fit,0,0,unchanged,,floor(maxStoredMassGrams/unitMassGrams)
v27.mass.coupling.1,component:rune-tuning-shield,warehouse,BuildingStorageAbility,building:1053,capacity-grams,12500,12500,unchanged,,BuildingStorageAbility.maxStoredMassGrams
v27.mass.coupling.1,component:rune-tuning-shield,warehouse,BuildingStorageAbility,building:1053,eligible,0,0,unchanged,,allCategories || category == item.StockCategory
v27.mass.coupling.1,component:rune-tuning-shield,warehouse,BuildingStorageAbility,building:1053,units-fit,0,0,unchanged,,floor(maxStoredMassGrams/unitMassGrams)
v27.mass.coupling.1,component:rune-tuning-shield,warehouse,BuildingStorageAbility,building:1054,capacity-grams,12500,12500,unchanged,,BuildingStorageAbility.maxStoredMassGrams
v27.mass.coupling.1,component:rune-tuning-shield,warehouse,BuildingStorageAbility,building:1054,eligible,0,0,unchanged,,allCategories || category == item.StockCategory
v27.mass.coupling.1,component:rune-tuning-shield,warehouse,BuildingStorageAbility,building:1054,units-fit,0,0,unchanged,,floor(maxStoredMassGrams/unitMassGrams)
v27.mass.coupling.1,component:rune-tuning-shield,warehouse,BuildingStorageAbility,building:1055,capacity-grams,25000,25000,unchanged,,BuildingStorageAbility.maxStoredMassGrams
v27.mass.coupling.1,component:rune-tuning-shield,warehouse,BuildingStorageAbility,building:1055,eligible,0,0,unchanged,,allCategories || category == item.StockCategory
v27.mass.coupling.1,component:rune-tuning-shield,warehouse,BuildingStorageAbility,building:1055,units-fit,0,0,unchanged,,floor(maxStoredMassGrams/unitMassGrams)
v27.mass.coupling.1,component:rune-tuning-shield,warehouse,BuildingStorageAbility,building:1056,capacity-grams,15000,15000,unchanged,,BuildingStorageAbility.maxStoredMassGrams
v27.mass.coupling.1,component:rune-tuning-shield,warehouse,BuildingStorageAbility,building:1056,eligible,0,0,unchanged,,allCategories || category == item.StockCategory
v27.mass.coupling.1,component:rune-tuning-shield,warehouse,BuildingStorageAbility,building:1056,units-fit,0,0,unchanged,,floor(maxStoredMassGrams/unitMassGrams)
v27.mass.coupling.1,component:rune-tuning-shield,warehouse,BuildingStorageAbility,building:1062,capacity-grams,12500,12500,unchanged,,BuildingStorageAbility.maxStoredMassGrams
v27.mass.coupling.1,component:rune-tuning-shield,warehouse,BuildingStorageAbility,building:1062,eligible,1,1,unchanged,,allCategories || category == item.StockCategory
v27.mass.coupling.1,component:rune-tuning-shield,warehouse,BuildingStorageAbility,building:1062,units-fit,4,4,unchanged,,floor(maxStoredMassGrams/unitMassGrams)
v27.mass.coupling.1,component:rune-tuning-shield,warehouse,BuildingStorageAbility,building:1802,capacity-grams,25000,25000,unchanged,,BuildingStorageAbility.maxStoredMassGrams
v27.mass.coupling.1,component:rune-tuning-shield,warehouse,BuildingStorageAbility,building:1802,eligible,1,1,unchanged,,allCategories || category == item.StockCategory
v27.mass.coupling.1,component:rune-tuning-shield,warehouse,BuildingStorageAbility,building:1802,units-fit,9,9,unchanged,,floor(maxStoredMassGrams/unitMassGrams)
v27.mass.coupling.1,component:rune-tuning-shield,warehouse,BuildingStorageAbility,building:1803,capacity-grams,25000,25000,unchanged,,BuildingStorageAbility.maxStoredMassGrams
v27.mass.coupling.1,component:rune-tuning-shield,warehouse,BuildingStorageAbility,building:1803,eligible,1,1,unchanged,,allCategories || category == item.StockCategory
v27.mass.coupling.1,component:rune-tuning-shield,warehouse,BuildingStorageAbility,building:1803,units-fit,9,9,unchanged,,floor(maxStoredMassGrams/unitMassGrams)
v27.mass.coupling.1,component:rune-tuning-shield,warehouse,BuildingStorageAbility,building:9508,capacity-grams,12500,12500,unchanged,,BuildingStorageAbility.maxStoredMassGrams
v27.mass.coupling.1,component:rune-tuning-shield,warehouse,BuildingStorageAbility,building:9508,eligible,0,0,unchanged,,allCategories || category == item.StockCategory
v27.mass.coupling.1,component:rune-tuning-shield,warehouse,BuildingStorageAbility,building:9508,units-fit,0,0,unchanged,,floor(maxStoredMassGrams/unitMassGrams)
v27.mass.coupling.1,component:sealed-seasonal-container,ewu,V27EmbeddedWorkValueCalculator,component:sealed-seasonal-container,acquisition-mewu,351830,351830,unchanged,,current/proposed immutable mass counterfactual
v27.mass.coupling.1,component:sealed-seasonal-container,ewu,V27EmbeddedWorkValueCalculator,component:sealed-seasonal-container,recoverable-mewu,237973,237973,unchanged,,floor(acquisition * salvage retention)
v27.mass.coupling.1,component:sealed-seasonal-container,facility-output,BuildingProductionBufferAbility,building:8853|recipe:component:sealed-seasonal-container|output:recipe:component:sealed-seasonal-container/000/main/component:sealed-seasonal-container,maximum-line-grams,1800,1800,unchanged,,maximum-output-factor ceil(quantity) * immutable definition unit grams
v27.mass.coupling.1,component:sealed-seasonal-container,facility-output-buffer,BuildingProductionBufferAbility,building:8853|recipe:component:sealed-seasonal-container,required-capacity-grams,7200,7200,unchanged,,projector maximum-factor physical batch grams * authored 2-4 cycle capacity
v27.mass.coupling.1,component:sealed-seasonal-container,haul,ordinary-haul,nominal-25kg,target-max-units,6,6,unchanged,,"floor(class maximum grams/unit), capped by max stack"
v27.mass.coupling.1,component:sealed-seasonal-container,haul,ordinary-haul,nominal-25kg,target-min-units,4,4,unchanged,,"ceil(class minimum grams/unit), capped by max stack"
v27.mass.coupling.1,component:sealed-seasonal-container,market,V27 market projection,component:sealed-seasonal-container,sale-rate,0.59632200002670288,0.59632200002670288,unchanged,,maximum nonnegative float whose sale credit does not exceed floor target
v27.mass.coupling.1,component:sealed-seasonal-container,market,V27 market projection,component:sealed-seasonal-container,unit-price-gold,118,118,unchanged,,"ceil(acquisition/3000), appraised=floor(sale-credit/3000)"
v27.mass.coupling.1,component:sealed-seasonal-container,mass,ItemDefinitionSO,component:sealed-seasonal-container,unit-grams,1800,1800,unchanged,,ItemDefinitionSO.UnitWeight/canonical semantic
v27.mass.coupling.1,component:sealed-seasonal-container,stack,ItemDefinitionSO,component:sealed-seasonal-container,max-stack-mass-grams,90000,90000,unchanged,,unit grams * ItemDefinitionSO.MaxStack
v27.mass.coupling.1,component:sealed-seasonal-container,warehouse,BuildingStorageAbility,building:1009,capacity-grams,12500,12500,unchanged,,BuildingStorageAbility.maxStoredMassGrams
v27.mass.coupling.1,component:sealed-seasonal-container,warehouse,BuildingStorageAbility,building:1009,eligible,0,0,unchanged,,allCategories || category == item.StockCategory
v27.mass.coupling.1,component:sealed-seasonal-container,warehouse,BuildingStorageAbility,building:1009,units-fit,0,0,unchanged,,floor(maxStoredMassGrams/unitMassGrams)
v27.mass.coupling.1,component:sealed-seasonal-container,warehouse,BuildingStorageAbility,building:1015,capacity-grams,12500,12500,unchanged,,BuildingStorageAbility.maxStoredMassGrams
v27.mass.coupling.1,component:sealed-seasonal-container,warehouse,BuildingStorageAbility,building:1015,eligible,1,1,unchanged,,allCategories || category == item.StockCategory
v27.mass.coupling.1,component:sealed-seasonal-container,warehouse,BuildingStorageAbility,building:1015,units-fit,6,6,unchanged,,floor(maxStoredMassGrams/unitMassGrams)
v27.mass.coupling.1,component:sealed-seasonal-container,warehouse,BuildingStorageAbility,building:1018,capacity-grams,25000,25000,unchanged,,BuildingStorageAbility.maxStoredMassGrams
v27.mass.coupling.1,component:sealed-seasonal-container,warehouse,BuildingStorageAbility,building:1018,eligible,0,0,unchanged,,allCategories || category == item.StockCategory
v27.mass.coupling.1,component:sealed-seasonal-container,warehouse,BuildingStorageAbility,building:1018,units-fit,0,0,unchanged,,floor(maxStoredMassGrams/unitMassGrams)
v27.mass.coupling.1,component:sealed-seasonal-container,warehouse,BuildingStorageAbility,building:1025,capacity-grams,12500,12500,unchanged,,BuildingStorageAbility.maxStoredMassGrams
v27.mass.coupling.1,component:sealed-seasonal-container,warehouse,BuildingStorageAbility,building:1025,eligible,1,1,unchanged,,allCategories || category == item.StockCategory
v27.mass.coupling.1,component:sealed-seasonal-container,warehouse,BuildingStorageAbility,building:1025,units-fit,6,6,unchanged,,floor(maxStoredMassGrams/unitMassGrams)
v27.mass.coupling.1,component:sealed-seasonal-container,warehouse,BuildingStorageAbility,building:1028,capacity-grams,12500,12500,unchanged,,BuildingStorageAbility.maxStoredMassGrams
v27.mass.coupling.1,component:sealed-seasonal-container,warehouse,BuildingStorageAbility,building:1028,eligible,1,1,unchanged,,allCategories || category == item.StockCategory
v27.mass.coupling.1,component:sealed-seasonal-container,warehouse,BuildingStorageAbility,building:1028,units-fit,6,6,unchanged,,floor(maxStoredMassGrams/unitMassGrams)
v27.mass.coupling.1,component:sealed-seasonal-container,warehouse,BuildingStorageAbility,building:1032,capacity-grams,12500,12500,unchanged,,BuildingStorageAbility.maxStoredMassGrams
v27.mass.coupling.1,component:sealed-seasonal-container,warehouse,BuildingStorageAbility,building:1032,eligible,1,1,unchanged,,allCategories || category == item.StockCategory
v27.mass.coupling.1,component:sealed-seasonal-container,warehouse,BuildingStorageAbility,building:1032,units-fit,6,6,unchanged,,floor(maxStoredMassGrams/unitMassGrams)
v27.mass.coupling.1,component:sealed-seasonal-container,warehouse,BuildingStorageAbility,building:1033,capacity-grams,12500,12500,unchanged,,BuildingStorageAbility.maxStoredMassGrams
v27.mass.coupling.1,component:sealed-seasonal-container,warehouse,BuildingStorageAbility,building:1033,eligible,0,0,unchanged,,allCategories || category == item.StockCategory
v27.mass.coupling.1,component:sealed-seasonal-container,warehouse,BuildingStorageAbility,building:1033,units-fit,0,0,unchanged,,floor(maxStoredMassGrams/unitMassGrams)
v27.mass.coupling.1,component:sealed-seasonal-container,warehouse,BuildingStorageAbility,building:1034,capacity-grams,12500,12500,unchanged,,BuildingStorageAbility.maxStoredMassGrams
v27.mass.coupling.1,component:sealed-seasonal-container,warehouse,BuildingStorageAbility,building:1034,eligible,1,1,unchanged,,allCategories || category == item.StockCategory
v27.mass.coupling.1,component:sealed-seasonal-container,warehouse,BuildingStorageAbility,building:1034,units-fit,6,6,unchanged,,floor(maxStoredMassGrams/unitMassGrams)
v27.mass.coupling.1,component:sealed-seasonal-container,warehouse,BuildingStorageAbility,building:1036,capacity-grams,13500,13500,unchanged,,BuildingStorageAbility.maxStoredMassGrams
v27.mass.coupling.1,component:sealed-seasonal-container,warehouse,BuildingStorageAbility,building:1036,eligible,0,0,unchanged,,allCategories || category == item.StockCategory
v27.mass.coupling.1,component:sealed-seasonal-container,warehouse,BuildingStorageAbility,building:1036,units-fit,0,0,unchanged,,floor(maxStoredMassGrams/unitMassGrams)
v27.mass.coupling.1,component:sealed-seasonal-container,warehouse,BuildingStorageAbility,building:1037,capacity-grams,27000,27000,unchanged,,BuildingStorageAbility.maxStoredMassGrams
v27.mass.coupling.1,component:sealed-seasonal-container,warehouse,BuildingStorageAbility,building:1037,eligible,0,0,unchanged,,allCategories || category == item.StockCategory
v27.mass.coupling.1,component:sealed-seasonal-container,warehouse,BuildingStorageAbility,building:1037,units-fit,0,0,unchanged,,floor(maxStoredMassGrams/unitMassGrams)
v27.mass.coupling.1,component:sealed-seasonal-container,warehouse,BuildingStorageAbility,building:1050,capacity-grams,25000,25000,unchanged,,BuildingStorageAbility.maxStoredMassGrams
v27.mass.coupling.1,component:sealed-seasonal-container,warehouse,BuildingStorageAbility,building:1050,eligible,1,1,unchanged,,allCategories || category == item.StockCategory
v27.mass.coupling.1,component:sealed-seasonal-container,warehouse,BuildingStorageAbility,building:1050,units-fit,13,13,unchanged,,floor(maxStoredMassGrams/unitMassGrams)
v27.mass.coupling.1,component:sealed-seasonal-container,warehouse,BuildingStorageAbility,building:1051,capacity-grams,12500,12500,unchanged,,BuildingStorageAbility.maxStoredMassGrams
v27.mass.coupling.1,component:sealed-seasonal-container,warehouse,BuildingStorageAbility,building:1051,eligible,1,1,unchanged,,allCategories || category == item.StockCategory
v27.mass.coupling.1,component:sealed-seasonal-container,warehouse,BuildingStorageAbility,building:1051,units-fit,6,6,unchanged,,floor(maxStoredMassGrams/unitMassGrams)
v27.mass.coupling.1,component:sealed-seasonal-container,warehouse,BuildingStorageAbility,building:1052,capacity-grams,12500,12500,unchanged,,BuildingStorageAbility.maxStoredMassGrams
v27.mass.coupling.1,component:sealed-seasonal-container,warehouse,BuildingStorageAbility,building:1052,eligible,0,0,unchanged,,allCategories || category == item.StockCategory
v27.mass.coupling.1,component:sealed-seasonal-container,warehouse,BuildingStorageAbility,building:1052,units-fit,0,0,unchanged,,floor(maxStoredMassGrams/unitMassGrams)
v27.mass.coupling.1,component:sealed-seasonal-container,warehouse,BuildingStorageAbility,building:1053,capacity-grams,12500,12500,unchanged,,BuildingStorageAbility.maxStoredMassGrams
v27.mass.coupling.1,component:sealed-seasonal-container,warehouse,BuildingStorageAbility,building:1053,eligible,0,0,unchanged,,allCategories || category == item.StockCategory
v27.mass.coupling.1,component:sealed-seasonal-container,warehouse,BuildingStorageAbility,building:1053,units-fit,0,0,unchanged,,floor(maxStoredMassGrams/unitMassGrams)
v27.mass.coupling.1,component:sealed-seasonal-container,warehouse,BuildingStorageAbility,building:1054,capacity-grams,12500,12500,unchanged,,BuildingStorageAbility.maxStoredMassGrams
v27.mass.coupling.1,component:sealed-seasonal-container,warehouse,BuildingStorageAbility,building:1054,eligible,0,0,unchanged,,allCategories || category == item.StockCategory
v27.mass.coupling.1,component:sealed-seasonal-container,warehouse,BuildingStorageAbility,building:1054,units-fit,0,0,unchanged,,floor(maxStoredMassGrams/unitMassGrams)
v27.mass.coupling.1,component:sealed-seasonal-container,warehouse,BuildingStorageAbility,building:1055,capacity-grams,25000,25000,unchanged,,BuildingStorageAbility.maxStoredMassGrams
v27.mass.coupling.1,component:sealed-seasonal-container,warehouse,BuildingStorageAbility,building:1055,eligible,0,0,unchanged,,allCategories || category == item.StockCategory
v27.mass.coupling.1,component:sealed-seasonal-container,warehouse,BuildingStorageAbility,building:1055,units-fit,0,0,unchanged,,floor(maxStoredMassGrams/unitMassGrams)
v27.mass.coupling.1,component:sealed-seasonal-container,warehouse,BuildingStorageAbility,building:1056,capacity-grams,15000,15000,unchanged,,BuildingStorageAbility.maxStoredMassGrams
v27.mass.coupling.1,component:sealed-seasonal-container,warehouse,BuildingStorageAbility,building:1056,eligible,0,0,unchanged,,allCategories || category == item.StockCategory
v27.mass.coupling.1,component:sealed-seasonal-container,warehouse,BuildingStorageAbility,building:1056,units-fit,0,0,unchanged,,floor(maxStoredMassGrams/unitMassGrams)
v27.mass.coupling.1,component:sealed-seasonal-container,warehouse,BuildingStorageAbility,building:1062,capacity-grams,12500,12500,unchanged,,BuildingStorageAbility.maxStoredMassGrams
v27.mass.coupling.1,component:sealed-seasonal-container,warehouse,BuildingStorageAbility,building:1062,eligible,1,1,unchanged,,allCategories || category == item.StockCategory
v27.mass.coupling.1,component:sealed-seasonal-container,warehouse,BuildingStorageAbility,building:1062,units-fit,6,6,unchanged,,floor(maxStoredMassGrams/unitMassGrams)
v27.mass.coupling.1,component:sealed-seasonal-container,warehouse,BuildingStorageAbility,building:1802,capacity-grams,25000,25000,unchanged,,BuildingStorageAbility.maxStoredMassGrams
v27.mass.coupling.1,component:sealed-seasonal-container,warehouse,BuildingStorageAbility,building:1802,eligible,1,1,unchanged,,allCategories || category == item.StockCategory
v27.mass.coupling.1,component:sealed-seasonal-container,warehouse,BuildingStorageAbility,building:1802,units-fit,13,13,unchanged,,floor(maxStoredMassGrams/unitMassGrams)
v27.mass.coupling.1,component:sealed-seasonal-container,warehouse,BuildingStorageAbility,building:1803,capacity-grams,25000,25000,unchanged,,BuildingStorageAbility.maxStoredMassGrams
v27.mass.coupling.1,component:sealed-seasonal-container,warehouse,BuildingStorageAbility,building:1803,eligible,1,1,unchanged,,allCategories || category == item.StockCategory
v27.mass.coupling.1,component:sealed-seasonal-container,warehouse,BuildingStorageAbility,building:1803,units-fit,13,13,unchanged,,floor(maxStoredMassGrams/unitMassGrams)
v27.mass.coupling.1,component:sealed-seasonal-container,warehouse,BuildingStorageAbility,building:9508,capacity-grams,12500,12500,unchanged,,BuildingStorageAbility.maxStoredMassGrams
v27.mass.coupling.1,component:sealed-seasonal-container,warehouse,BuildingStorageAbility,building:9508,eligible,0,0,unchanged,,allCategories || category == item.StockCategory
v27.mass.coupling.1,component:sealed-seasonal-container,warehouse,BuildingStorageAbility,building:9508,units-fit,0,0,unchanged,,floor(maxStoredMassGrams/unitMassGrams)
v27.mass.coupling.1,component:siege-counterweight,ewu,V27EmbeddedWorkValueCalculator,component:siege-counterweight,acquisition-mewu,607120,607120,unchanged,,current/proposed immutable mass counterfactual
v27.mass.coupling.1,component:siege-counterweight,ewu,V27EmbeddedWorkValueCalculator,component:siege-counterweight,recoverable-mewu,408603,408603,unchanged,,floor(acquisition * salvage retention)
v27.mass.coupling.1,component:siege-counterweight,facility-output,BuildingProductionBufferAbility,building:8837|recipe:component:siege-counterweight|output:recipe:component:siege-counterweight/000/main/component:siege-counterweight,maximum-line-grams,2350,2350,unchanged,,maximum-output-factor ceil(quantity) * immutable definition unit grams
v27.mass.coupling.1,component:siege-counterweight,facility-output-buffer,BuildingProductionBufferAbility,building:8837|recipe:component:siege-counterweight,required-capacity-grams,9400,9400,unchanged,,projector maximum-factor physical batch grams * authored 2-4 cycle capacity
v27.mass.coupling.1,component:siege-counterweight,haul,ordinary-haul,nominal-25kg,target-max-units,4,4,unchanged,,"floor(class maximum grams/unit), capped by max stack"
v27.mass.coupling.1,component:siege-counterweight,haul,ordinary-haul,nominal-25kg,target-min-units,3,3,unchanged,,"ceil(class minimum grams/unit), capped by max stack"
v27.mass.coupling.1,component:siege-counterweight,market,V27 market projection,component:siege-counterweight,sale-rate,0.59814774990081787,0.59814774990081787,unchanged,,maximum nonnegative float whose sale credit does not exceed floor target
v27.mass.coupling.1,component:siege-counterweight,market,V27 market projection,component:siege-counterweight,unit-price-gold,203,203,unchanged,,"ceil(acquisition/3000), appraised=floor(sale-credit/3000)"
v27.mass.coupling.1,component:siege-counterweight,mass,ItemDefinitionSO,component:siege-counterweight,unit-grams,2350,2350,unchanged,,ItemDefinitionSO.UnitWeight/canonical semantic
