controlledEnvironment=22C/air100/light100 every5 game seconds through existing field persistence; original restored during cleanup; character exposure/needs simulation remains active
[PASS] actual preparation estimate=adult1/45WU/day/0.4day; actual enqueue; cap1/17WU unchanged
postCycleMetaMultiplier=1; pipeline=raw work rate -> completed cycle -> current participant contribution -> supplied durable research equipment -> meta research multiplier -> remaining project clamp
phase game=1.489087; kind=no-work-increment/no-movement; run=0; generic=0/0; action=Haul (AIHaul); cell=(18, 0)
phase game=198.2956; kind=work-cycle-boundary; run=4; generic=2.042931/6; action=; cell=(35, 2)
rateInputs game=198.2956; performance=0.825337; cumulativeTraceInvocationCount=38; roomDuration=1; craftsmanship=; contribution=0
phase game=198.9623; kind=no-work-increment/no-movement; run=4; generic=2.042931/6; action=; cell=(35, 2)
rateInputs game=203.6882; performance=0.825337; cumulativeTraceInvocationCount=38; roomDuration=1; craftsmanship=; contribution=0
rateInputs game=208.8589; performance=0.825337; cumulativeTraceInvocationCount=38; roomDuration=1; craftsmanship=; contribution=0
rateInputs game=214.088; performance=0.825337; cumulativeTraceInvocationCount=38; roomDuration=1; craftsmanship=; contribution=0
rateInputs game=219.3454; performance=0.825337; cumulativeTraceInvocationCount=38; roomDuration=1; craftsmanship=; contribution=0
rateInputs game=224.6841; performance=0.825337; cumulativeTraceInvocationCount=38; roomDuration=1; craftsmanship=; contribution=0
rateInputs game=229.8697; performance=0.825337; cumulativeTraceInvocationCount=38; roomDuration=1; craftsmanship=; contribution=0
rateInputs game=235.0441; performance=0.825337; cumulativeTraceInvocationCount=38; roomDuration=1; craftsmanship=; contribution=0
rateInputs game=240.2115; performance=0.825337; cumulativeTraceInvocationCount=38; roomDuration=1; craftsmanship=; contribution=0
rateInputs game=245.6282; performance=0.825337; cumulativeTraceInvocationCount=38; roomDuration=1; craftsmanship=; contribution=0
rateInputs game=250.9136; performance=0.825337; cumulativeTraceInvocationCount=38; roomDuration=1; craftsmanship=; contribution=0
rateInputs game=256.0536; performance=0.825337; cumulativeTraceInvocationCount=38; roomDuration=1; craftsmanship=; contribution=0
rateInputs game=261.2418; performance=0.825337; cumulativeTraceInvocationCount=38; roomDuration=1; craftsmanship=; contribution=0
rateInputs game=266.6889; performance=0.825337; cumulativeTraceInvocationCount=38; roomDuration=1; craftsmanship=; contribution=0
phase game=267.0838; kind=movement-observed; run=4; generic=2.042931/6; action=; cell=(34, 2)
phase game=267.7505; kind=no-work-increment/no-movement; run=4; generic=2.042931/6; action=; cell=(34, 2)
phase game=268.1385; kind=movement-observed; run=4; generic=2.042931/6; action=; cell=(33, 2)
phase game=268.8051; kind=no-work-increment/no-movement; run=4; generic=2.042931/6; action=; cell=(33, 2)
phase game=269.4718; kind=movement-observed; run=4; generic=2.042931/6; action=; cell=(32, 2)
phase game=270.1385; kind=no-work-increment/no-movement; run=4; generic=2.042931/6; action=; cell=(32, 2)
phase game=270.8051; kind=movement-observed; run=4; generic=2.042931/6; action=; cell=(31, 2)
phase game=271.1352; kind=no-work-increment/no-movement; run=4; generic=2.042931/6; action=; cell=(31, 2)
rateInputs game=271.8018; performance=0.825337; cumulativeTraceInvocationCount=38; roomDuration=1; craftsmanship=; contribution=0
phase game=272.24; kind=movement-observed; run=4; generic=2.042931/6; action=; cell=(30, 2)
phase game=272.9067; kind=no-work-increment/no-movement; run=4; generic=2.042931/6; action=; cell=(30, 2)
phase game=273.3416; kind=movement-observed; run=4; generic=2.042931/6; action=; cell=(31, 2)
phase game=274.0082; kind=no-work-increment/no-movement; run=4; generic=2.042931/6; action=; cell=(31, 2)
phase game=277.0849; kind=movement-observed; run=4; generic=2.042931/6; action=; cell=(31, 1)
rateInputs game=277.0849; performance=0.825337; cumulativeTraceInvocationCount=38; roomDuration=1; craftsmanship=; contribution=0
phase game=278.8939; kind=no-work-increment/no-movement; run=4; generic=2.042931/6; action=; cell=(29, 1)
phase game=279.2255; kind=movement-observed; run=4; generic=2.042931/6; action=; cell=(28, 1)
phase game=279.8922; kind=no-work-increment/no-movement; run=4; generic=2.042931/6; action=; cell=(28, 1)
phase game=281.0603; kind=movement-observed; run=4; generic=2.042931/6; action=; cell=(27, 1)
phase game=282.0846; kind=no-work-increment/no-movement; run=4; generic=2.042931/6; action=; cell=(26, 1)
phase game=282.7512; kind=movement-observed; run=4; generic=2.042931/6; action=; cell=(25, 1)
rateInputs game=282.7512; performance=0.825337; cumulativeTraceInvocationCount=38; roomDuration=1; craftsmanship=; contribution=0
phase game=283.4179; kind=no-work-increment/no-movement; run=4; generic=2.042931/6; action=; cell=(25, 1)
phase game=284.0846; kind=movement-observed; run=4; generic=2.042931/6; action=; cell=(24, 1)
phase game=284.7512; kind=no-work-increment/no-movement; run=4; generic=2.042931/6; action=; cell=(24, 1)
phase game=285.1918; kind=movement-observed; run=4; generic=2.042931/6; action=; cell=(23, 1)
phase game=285.8584; kind=no-work-increment/no-movement; run=4; generic=2.042931/6; action=; cell=(23, 1)
phase game=286.2826; kind=movement-observed; run=4; generic=2.042931/6; action=; cell=(22, 1)
phase game=286.9492; kind=no-work-increment/no-movement; run=4; generic=2.042931/6; action=; cell=(22, 1)
phase game=287.4055; kind=movement-observed; run=4; generic=2.042931/6; action=; cell=(21, 1)
phase game=288.0722; kind=no-work-increment/no-movement; run=4; generic=2.042931/6; action=; cell=(21, 1)
rateInputs game=288.0722; performance=0.825337; cumulativeTraceInvocationCount=38; roomDuration=1; craftsmanship=; contribution=0
phase game=288.7388; kind=movement-observed; run=4; generic=2.042931/6; action=; cell=(20, 1)
phase game=289.0668; kind=no-work-increment/no-movement; run=4; generic=2.042931/6; action=; cell=(20, 1)
phase game=289.7334; kind=movement-observed; run=4; generic=2.042931/6; action=; cell=(19, 1)
phase game=290.2255; kind=no-work-increment/no-movement; run=4; generic=2.042931/6; action=; cell=(19, 1)
phase game=290.8921; kind=movement-observed; run=4; generic=2.042931/6; action=; cell=(18, 1)
phase game=291.1625; kind=no-work-increment/no-movement; run=4; generic=2.042931/6; action=; cell=(18, 1)
phase game=292.8528; kind=movement-observed; run=4; generic=2.042931/6; action=; cell=(19, 1)
phase game=293.2947; kind=no-work-increment/no-movement; run=4; generic=2.042931/6; action=; cell=(19, 1)
rateInputs game=293.2947; performance=0.825337; cumulativeTraceInvocationCount=38; roomDuration=1; craftsmanship=; contribution=0
phase game=295.0244; kind=movement-observed; run=4; generic=2.042931/6; action=; cell=(19, 0)
phase game=296.8866; kind=no-work-increment/no-movement; run=4; generic=2.042931/6; action=; cell=(17, 0)
rateInputs game=298.8866; performance=0.825337; cumulativeTraceInvocationCount=38; roomDuration=1; craftsmanship=; contribution=0
rateInputs game=304.0357; performance=0.825337; cumulativeTraceInvocationCount=38; roomDuration=1; craftsmanship=; contribution=0
rateInputs game=309.0508; performance=0.825337; cumulativeTraceInvocationCount=38; roomDuration=1; craftsmanship=; contribution=0
rateInputs game=314.4008; performance=0.825337; cumulativeTraceInvocationCount=38; roomDuration=1; craftsmanship=; contribution=0
rateInputs game=319.9731; performance=0.825337; cumulativeTraceInvocationCount=38; roomDuration=1; craftsmanship=; contribution=0
rateInputs game=325.4659; performance=0.825337; cumulativeTraceInvocationCount=38; roomDuration=1; craftsmanship=; contribution=0
rateInputs game=330.9391; performance=0.825337; cumulativeTraceInvocationCount=38; roomDuration=1; craftsmanship=; contribution=0
rateInputs game=335.9937; performance=0.825337; cumulativeTraceInvocationCount=38; roomDuration=1; craftsmanship=; contribution=0
phase game=339.7171; kind=movement-observed; run=5; generic=2.042931/6; action=Work (AIWork); cell=(18, 0)
worker=character:staff:1:01; action=Work (AIWork); research=True; participants=0; progress=0; generic=2.042931/6; thirst=100; cell=(18, 0); gameTime=339.7171; wall=218.5461; cancellation=; preWuExit=None/; brain=행동: 일하기 (0.7s)
단계: 이동 / MovePath / 18칸
목표: 연구책상
경로: MovePath / 18칸
예약: 연구책상
전환완충: 0.3s
기분: 54.4
이유: 정상
운반 계획: 운반 계획 없음
적재: 0/28.7kg
정리 사유: 배송 완료
result=FAIL
System.InvalidOperationException: Timing witness lacks actual sole-worker completion or stable work observations.
  at WimR01ResearchSelfCareLiveRunner+<ObserveTiming>d__29.MoveNext () [0x009bc] in F:\01_Programming\01_Project\02_Unity\DungeonStory\Assets\Scripts\Services\Economy\Editor\WimR01ResearchSelfCareLiveRunner.cs:379 
  at WimR01ResearchSelfCareLiveRunner+<Observe>d__27.MoveNext () [0x00051] in F:\01_Programming\01_Project\02_Unity\DungeonStory\Assets\Scripts\Services\Economy\Editor\WimR01ResearchSelfCareLiveRunner.cs:75 
scope=actual single-staff research completion and frame-observed work/travel/other time partition. Safe environmental field, initial needs and priorities are controlled; no thirst perturbation/repeated need reset or research/cap mutation. Work boundaries are reported separately, not attributed to a guessed cause. Not daily productivity, live ETA, alternate equipment bonus certification or collaborative research.
cleanup=paused disposable Play; operator stops; user persistence disabled before owner selection
