type,kind,definition_path,definition_line,inventory_scope,domain_group,domain_group_name,classification,classification_reason,coverage_disposition,coverage_reason,reviewed_disposition,replacement_authority,review_evidence,intended_ledger_status,integration_status,integration_reason,producer_count,producer_sites,publish_count,subscriber_count,participant_member_candidates,metric_member_candidates,current_transaction_boundary,joint_commit_feasibility,outcome_save_owner,domain_state_save_owner_candidates,ui_paths,query_paths,narrative_paths
InvasionDungeonBreachedEvent,struct,Assets/Scripts/Services/Invasion/InvasionIntruderEvents.cs,12,pre-existing-runtime-candidate,2,전투·침입·의료·생포·사망,Record,One-time committed transition marking that the active intruder crossed into the dungeon interior.,Record,One-time committed transition marking that the active intruder crossed into the dungeon interior.,True,MigratedProducerOutcomeReceipt,"Assets/Scripts/Services/Invasion/InvasionIntruderExecutionCoordinator.cs:105-135 | Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/MigratedProducers/MigratedProducerOutcomeContracts.cs:117-173 | Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/MigratedProducers/MigratedProducerOutcomeRuntime.cs:550-707,928-1015 | Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/MigratedProducers/MigratedProducerOutcomeDefinition.cs:524-552 | Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/MigratedProducers/Editor/MigratedProducerOutcomeDebugScenarios.cs:19-125 | Artifacts/QA/GameplayOutcomeLedgerPhase80Focused-20260920-r80/focused-runtime-report.json | Artifacts/QA/GameplayOutcomeLedgerPhase80Compile-20260920-r161/unity-compile.log | Artifacts/QA/GameplayOutcomeLedgerPhase80FullWorldSave-20260920-r37/full-world-round-trip-playmode-report.txt",recorded,connected,"The owner-specific migrated-producer path now routes this terminal result through the catalogued MigratedProducerOutcomeReceipt. MigratedProducerOutcomeRuntime reserves and writes that payload, commits the persisted migrated-producer owner revision with the GameplayOutcomeLedger through the owner transaction, restores the prior revision on a non-durable commit, and retains the durable stream for replay. The retained production source evidence identifies the owner path; r80 passed all 57 catalogued producers, r161 compiled the final source, and r37 restored the canonical full-world baseline.",2,Assets/Scripts/Services/Invasion/InvasionIntruderExecutionCoordinator.cs:175:InvasionIntruderExecutionCoordinator.MigratedProducerOutcomeSubject | Assets/Scripts/Services/Invasion/InvasionIntruderExecutionCoordinator.cs:176:InvasionIntruderExecutionCoordinator.InvasionDungeonBreachedEvent,1,3,intruderActor | intruderRuntime,,"The production owner supplies the terminal result to the catalogued MigratedProducerOutcomeReceipt path; MigratedProducerOutcomeRuntime writes the reserved outcome before advancing its persisted owner revision, then commits the prepared owner token through IGameplayOutcomeTransaction and restores the prior revision if durable commit fails.","implemented: prepared receipt and monotonic migrated-producer owner revision are validated before IGameplayOutcomeTransaction.Commit or CommitBatch; durable failure restores the prior revision, while durable success returns the canonical outcome identity.","MigratedProducerOutcomeSaveSection (narrative.migrated-producer-outcomes), dependent on GameplayOutcomeLedgerSaveSection, persists migrated-producer owner revisions; GameplayOutcomeLedgerSaveSection persists the canonical outcome.",CaptivitySaveSection | CharacterBodyHealthSaveSection | CharacterCombatCommandSaveSection | CharacterMedicalSaveSection | InvasionSaveSection | SurgerySaveSection,,Assets/Scripts/Services/Character/Work/SettlementThreatEventAdapter.cs | Assets/Scripts/Services/Invasion/DefenseEngagementRuntime.cs | Assets/Scripts/Services/Invasion/InvasionIntruderExecutionCoordinator.cs,Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/MigratedProducers/MigratedProducerOutcomeContracts.cs
InvasionFacilityDamagedEvent,struct,Assets/Scripts/Services/Invasion/InvasionIntruderEvents.cs,29,pre-existing-runtime-candidate,2,전투·침입·의료·생포·사망,Record,"Completed invasion facility damage after the facility damaged flag, unique damaged set and count are updated.",Record,"Completed invasion facility damage after the facility damaged flag, unique damaged set and count are updated.",True,MigratedProducerOutcomeReceipt,"Assets/Scripts/Services/Invasion/InvasionIntruderSystem.cs:681-721 | Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/MigratedProducers/MigratedProducerOutcomeContracts.cs:117-173 | Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/MigratedProducers/MigratedProducerOutcomeRuntime.cs:550-707,928-1015 | Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/MigratedProducers/MigratedProducerOutcomeDefinition.cs:524-552 | Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/MigratedProducers/Editor/MigratedProducerOutcomeDebugScenarios.cs:19-125 | Artifacts/QA/GameplayOutcomeLedgerPhase80Focused-20260920-r80/focused-runtime-report.json | Artifacts/QA/GameplayOutcomeLedgerPhase80Compile-20260920-r161/unity-compile.log | Artifacts/QA/GameplayOutcomeLedgerPhase80FullWorldSave-20260920-r37/full-world-round-trip-playmode-report.txt",recorded,connected,"The owner-specific migrated-producer path now routes this terminal result through the catalogued MigratedProducerOutcomeReceipt. MigratedProducerOutcomeRuntime reserves and writes that payload, commits the persisted migrated-producer owner revision with the GameplayOutcomeLedger through the owner transaction, restores the prior revision on a non-durable commit, and retains the durable stream for replay. The retained production source evidence identifies the owner path; r80 passed all 57 catalogued producers, r161 compiled the final source, and r37 restored the canonical full-world baseline.",2,Assets/Scripts/Services/Invasion/InvasionIntruderSystem.cs:792:InvasionIntruderRuntime.MigratedProducerOutcomeSubject | Assets/Scripts/Services/Invasion/InvasionIntruderSystem.cs:793:InvasionIntruderRuntime.InvasionFacilityDamagedEvent,1,4,facility | intruder,,"The production owner supplies the terminal result to the catalogued MigratedProducerOutcomeReceipt path; MigratedProducerOutcomeRuntime writes the reserved outcome before advancing its persisted owner revision, then commits the prepared owner token through IGameplayOutcomeTransaction and restores the prior revision if durable commit fails.","implemented: prepared receipt and monotonic migrated-producer owner revision are validated before IGameplayOutcomeTransaction.Commit or CommitBatch; durable failure restores the prior revision, while durable success returns the canonical outcome identity.","MigratedProducerOutcomeSaveSection (narrative.migrated-producer-outcomes), dependent on GameplayOutcomeLedgerSaveSection, persists migrated-producer owner revisions; GameplayOutcomeLedgerSaveSection persists the canonical outcome.",CaptivitySaveSection | CharacterBodyHealthSaveSection | CharacterCombatCommandSaveSection | CharacterMedicalSaveSection | InvasionSaveSection | SurgerySaveSection,,Assets/Scripts/Services/Codex/CodexRuntimeApplicationAdapter.cs | Assets/Scripts/Services/Invasion/InvasionIntruderSystem.cs,Assets/Scripts/Services/FacilityEvolution/FacilityEvolutionRecordEventRecorder.cs | Assets/Scripts/Services/FacilityEvolution/FacilityEvolutionRecordRuntime.cs | Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/MigratedProducers/MigratedProducerOutcomeContracts.cs
InvasionFinalCombatStartedEvent,struct,Assets/Scripts/Services/Invasion/InvasionIntruderEvents.cs,42,pre-existing-runtime-candidate,2,전투·침입·의료·생포·사망,NonResult,Phase-start signal emitted before final owner damage and before invasion resolution.,NonResult,Phase-start signal emitted before final owner damage and before invasion resolution.,True,CombatAttackResult/CharacterDeathEvent and InvasionResolvedEvent,Assets/Scripts/Services/Invasion/InvasionIntruderExecutionCoordinator.cs:72-87,N/A,excluded,"It is progress/input to the later combat damage and invasion terminal outcomes, not a completed result.",1,Assets/Scripts/Services/Invasion/InvasionIntruderExecutionCoordinator.cs:81:InvasionIntruderExecutionCoordinator.InvasionIntruderExecutionCoordinator,1,3,intruder | owner,,N/A: excluded non-result signal/detail,N/A,none-found: receipt/event is not persisted as a GameplayOutcome,CaptivitySaveSection | CharacterBodyHealthSaveSection | CharacterCombatCommandSaveSection | CharacterMedicalSaveSection | InvasionSaveSection | SurgerySaveSection,,Assets/Scripts/Services/Character/Work/SettlementThreatEventAdapter.cs | Assets/Scripts/Services/Invasion/InvasionIntruderExecutionCoordinator.cs,
InvasionIntruderEntryResolution,struct,Assets/Scripts/Models/Invasion/Core/InvasionIntruderEntryResolver.cs,28,pre-existing-runtime-candidate,2,전투·침입·의료·생포·사망,NonResult,Pure deterministic entry-geometry selection result with no gameplay mutation or publication.,NonResult,Pure deterministic entry-geometry selection result with no gameplay mutation or publication.,True,InvasionStartedEvent or InvasionDungeonBreachedEvent,Assets/Scripts/Models/Invasion/Core/InvasionIntruderEntryResolver.cs:29-99,N/A,excluded,The later committed invasion start/breach owns any gameplay result.,7,Assets/Scripts/Models/Invasion/Core/InvasionIntruderEntryResolver.cs:44:InvasionIntruderEntryResolution.Succeeded | Assets/Scripts/Models/Invasion/Core/InvasionIntruderEntryResolver.cs:48:InvasionIntruderEntryResolution.Failed | Assets/Scripts/Models/Invasion/Core/InvasionIntruderEntryResolver.cs:55:InvasionIntruderEntryResolver.Resolve | Assets/Scripts/Models/Invasion/Core/InvasionIntruderEntryResolver.cs:64:InvasionIntruderEntryResolver.Succeeded | Assets/Scripts/Models/Invasion/Core/InvasionIntruderEntryResolver.cs:74:InvasionIntruderEntryResolver.Succeeded | Assets/Scripts/Models/Invasion/Core/InvasionIntruderEntryResolver.cs:79:InvasionIntruderEntryResolver.Succeeded | Assets/Scripts/Models/Invasion/Core/InvasionIntruderEntryResolver.cs:80:InvasionIntruderEntryResolver.Failed,0,0,,,N/A: excluded non-result signal/detail,N/A,none-found: receipt/event is not persisted as a GameplayOutcome,CaptivitySaveSection | CharacterBodyHealthSaveSection | CharacterCombatCommandSaveSection | CharacterMedicalSaveSection | InvasionSaveSection | SurgerySaveSection,,,
InvasionIntruderPathPlanResult,struct,Assets/Scripts/Services/Invasion/InvasionIntruderPathPlanning.cs,5,pre-existing-runtime-candidate,2,전투·침입·의료·생포·사망,NonResult,Transient path/target/awareness planning value for an active intruder.,NonResult,Transient path/target/awareness planning value for an active intruder.,True,"later invasion breach, facility damage, combat or resolution outcome",Assets/Scripts/Services/Invasion/InvasionIntruderPathPlanning.cs:6-95,N/A,excluded,Planning and awareness projection do not themselves commit a terminal gameplay result.,2,Assets/Scripts/Services/Invasion/InvasionIntruderPathPlanning.cs:31:InvasionIntruderPathPlanning.Plan | Assets/Scripts/Services/Invasion/InvasionIntruderPathPlanning.cs:98:InvasionIntruderPathPlanning.InvasionIntruderPathPlanResult,0,0,priorityTarget,,N/A: excluded non-result signal/detail,N/A,none-found: receipt/event is not persisted as a GameplayOutcome,CaptivitySaveSection | CharacterBodyHealthSaveSection | CharacterCombatCommandSaveSection | CharacterMedicalSaveSection | InvasionSaveSection | SurgerySaveSection,,Assets/Scripts/Services/Invasion/InvasionIntruderSystem.cs,
InvasionResolvedEvent,struct,Assets/Scripts/Models/Invasion/Core/InvasionThreatSystem.cs,156,pre-existing-runtime-candidate,2,전투·침입·의료·생포·사망,Record,"Canonical terminal invasion result with stable runtime ID, defended outcome and residual risk.",Record,"Canonical terminal invasion result with stable runtime ID, defended outcome and residual risk.",True,MigratedProducerOutcomeReceipt,"Assets/Scripts/Models/Invasion/Core/InvasionThreatSystem.cs:157-178 | Assets/Scripts/Services/Invasion/InvasionIntruderExecutionCoordinator.cs:72-87,665-698 | Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/MigratedProducers/MigratedProducerOutcomeContracts.cs:117-173 | Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/MigratedProducers/MigratedProducerOutcomeRuntime.cs:550-707,928-1015 | Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/MigratedProducers/MigratedProducerOutcomeDefinition.cs:524-552 | Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/MigratedProducers/Editor/MigratedProducerOutcomeDebugScenarios.cs:19-125 | Artifacts/QA/GameplayOutcomeLedgerPhase80Focused-20260920-r80/focused-runtime-report.json | Artifacts/QA/GameplayOutcomeLedgerPhase80Compile-20260920-r161/unity-compile.log | Artifacts/QA/GameplayOutcomeLedgerPhase80FullWorldSave-20260920-r37/full-world-round-trip-playmode-report.txt",recorded,connected,"The owner-specific migrated-producer path now routes this terminal result through the catalogued MigratedProducerOutcomeReceipt. MigratedProducerOutcomeRuntime reserves and writes that payload, commits the persisted migrated-producer owner revision with the GameplayOutcomeLedger through the owner transaction, restores the prior revision on a non-durable commit, and retains the durable stream for replay. The retained production source evidence identifies the owner path; r80 passed all 57 catalogued producers, r161 compiled the final source, and r37 restored the canonical full-world baseline.",1,Assets/Scripts/Services/Invasion/InvasionIntruderSystem.cs:980:InvasionIntruderRuntime.MigratedProducerOutcomeSubject,1,11,,,"The production owner supplies the terminal result to the catalogued MigratedProducerOutcomeReceipt path; MigratedProducerOutcomeRuntime writes the reserved outcome before advancing its persisted owner revision, then commits the prepared owner token through IGameplayOutcomeTransaction and restores the prior revision if durable commit fails.","implemented: prepared receipt and monotonic migrated-producer owner revision are validated before IGameplayOutcomeTransaction.Commit or CommitBatch; durable failure restores the prior revision, while durable success returns the canonical outcome identity.","MigratedProducerOutcomeSaveSection (narrative.migrated-producer-outcomes), dependent on GameplayOutcomeLedgerSaveSection, persists migrated-producer owner revisions; GameplayOutcomeLedgerSaveSection persists the canonical outcome.",CaptivitySaveSection | CharacterBodyHealthSaveSection | CharacterCombatCommandSaveSection | CharacterMedicalSaveSection | InvasionSaveSection | SurgerySaveSection,,Assets/Scripts/Services/Character/Work/SettlementThreatEventAdapter.cs | Assets/Scripts/Services/Combat/CombatLoadoutPreparationRuntime.cs | Assets/Scripts/Services/Evolution/EvolutionCatalystDropRuntime.cs | Assets/Scripts/Services/Infrastructure/Environment/ExternalInfluenceRuntime.cs | Assets/Scripts/Services/Invasion/DefenseEngagementRuntime.cs | Assets/Scripts/Services/Invasion/InvasionIntruderSystem.cs | Assets/Scripts/Services/Invasion/InvasionThreatRuntime.cs | Assets/Scripts/Services/Meta/MetaRuntimeApplicationAdapter.cs,Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/MigratedProducers/MigratedProducerOutcomeContracts.cs
InvasionSpawnedEvent,struct,Assets/Scripts/Services/Invasion/InvasionIntruderEvents.cs,1,pre-existing-runtime-candidate,2,전투·침입·의료·생포·사망,NonResult,Live-actor projection emitted from the same committed spawn as the stable InvasionStartedEvent.,NonResult,Live-actor projection emitted from the same committed spawn as the stable InvasionStartedEvent.,True,InvasionStartedEvent,Assets/Scripts/Services/Invasion/InvasionDirectorRuntime.cs:281-321,N/A,excluded,It exists for runtime subscribers and would duplicate the canonical invasion-start outcome.,2,Assets/Scripts/Services/Invasion/InvasionDirectorRuntime.cs:355:InvasionDirectorRuntime.InvasionStartedEvent | Assets/Scripts/Services/Invasion/InvasionDirectorRuntime.cs:356:InvasionDirectorRuntime.InvasionSpawnedEvent,1,5,intruder,,N/A: excluded non-result signal/detail,N/A,none-found: receipt/event is not persisted as a GameplayOutcome,CaptivitySaveSection | CharacterBodyHealthSaveSection | CharacterCombatCommandSaveSection | CharacterMedicalSaveSection | InvasionSaveSection | SurgerySaveSection,,Assets/Scripts/Services/Character/Core/CharacterSkillRuntimeEffects.cs | Assets/Scripts/Services/Codex/CodexRuntimeApplicationAdapter.cs | Assets/Scripts/Services/Infrastructure/Environment/ExternalInfluenceRuntime.cs | Assets/Scripts/Services/Invasion/InvasionDirectorRuntime.cs | Assets/Scripts/Services/Invasion/InvasionOwnerEvacuationService.cs,
InvasionStartedEvent,struct,Assets/Scripts/Models/Invasion/Core/InvasionThreatSystem.cs,42,pre-existing-runtime-candidate,2,전투·침입·의료·생포·사망,Record,Canonical committed invasion start with stable runtime ID and threat snapshot.,Record,Canonical committed invasion start with stable runtime ID and threat snapshot.,True,MigratedProducerOutcomeReceipt,"Assets/Scripts/Models/Invasion/Core/InvasionThreatSystem.cs:43-60 | Assets/Scripts/Services/Invasion/InvasionDirectorRuntime.cs:281-330 | Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/MigratedProducers/MigratedProducerOutcomeContracts.cs:117-173 | Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/MigratedProducers/MigratedProducerOutcomeRuntime.cs:550-707,928-1015 | Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/MigratedProducers/MigratedProducerOutcomeDefinition.cs:524-552 | Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/MigratedProducers/Editor/MigratedProducerOutcomeDebugScenarios.cs:19-125 | Artifacts/QA/GameplayOutcomeLedgerPhase80Focused-20260920-r80/focused-runtime-report.json | Artifacts/QA/GameplayOutcomeLedgerPhase80Compile-20260920-r161/unity-compile.log | Artifacts/QA/GameplayOutcomeLedgerPhase80FullWorldSave-20260920-r37/full-world-round-trip-playmode-report.txt",recorded,connected,"The owner-specific migrated-producer path now routes this terminal result through the catalogued MigratedProducerOutcomeReceipt. MigratedProducerOutcomeRuntime reserves and writes that payload, commits the persisted migrated-producer owner revision with the GameplayOutcomeLedger through the owner transaction, restores the prior revision on a non-durable commit, and retains the durable stream for replay. The retained production source evidence identifies the owner path; r80 passed all 57 catalogued producers, r161 compiled the final source, and r37 restored the canonical full-world baseline.",2,Assets/Scripts/Services/Invasion/InvasionDirectorRuntime.cs:352:InvasionDirectorRuntime.MigratedProducerOutcomeSubject | Assets/Scripts/Services/Invasion/InvasionDirectorRuntime.cs:353:InvasionDirectorRuntime.InvasionStartedEvent,1,8,,,"The production owner supplies the terminal result to the catalogued MigratedProducerOutcomeReceipt path; MigratedProducerOutcomeRuntime writes the reserved outcome before advancing its persisted owner revision, then commits the prepared owner token through IGameplayOutcomeTransaction and restores the prior revision if durable commit fails.","implemented: prepared receipt and monotonic migrated-producer owner revision are validated before IGameplayOutcomeTransaction.Commit or CommitBatch; durable failure restores the prior revision, while durable success returns the canonical outcome identity.","MigratedProducerOutcomeSaveSection (narrative.migrated-producer-outcomes), dependent on GameplayOutcomeLedgerSaveSection, persists migrated-producer owner revisions; GameplayOutcomeLedgerSaveSection persists the canonical outcome.",CaptivitySaveSection | CharacterBodyHealthSaveSection | CharacterCombatCommandSaveSection | CharacterMedicalSaveSection | InvasionSaveSection | SurgerySaveSection,,Assets/Scripts/Services/Captivity/CaptivityRuntime.cs | Assets/Scripts/Services/Captivity/CircusRuntime.cs | Assets/Scripts/Services/Character/Work/SettlementThreatEventAdapter.cs | Assets/Scripts/Services/Evolution/EvolutionCatalystDropRuntime.cs | Assets/Scripts/Services/Invasion/InvasionDirectorRuntime.cs | Assets/Scripts/Services/Invasion/InvasionThreatRuntime.cs | Assets/Scripts/Services/Meta/MetaRuntimeApplicationAdapter.cs,Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/MigratedProducers/MigratedProducerOutcomeContracts.cs
InvasionThreatWarningEvent,struct,Assets/Scripts/Models/Invasion/Core/InvasionThreatSystem.cs,22,pre-existing-runtime-candidate,2,전투·침입·의료·생포·사망,NonResult,Pre-commit warning/alert signal that can occur without a committed invasion.,NonResult,Pre-commit warning/alert signal that can occur without a committed invasion.,True,InvasionStartedEvent,Assets/Scripts/Services/Invasion/InvasionThreatRuntime.cs:520-548,N/A,excluded,It is planning and readiness input; the later stable invasion start owns the result.,1,Assets/Scripts/Services/Invasion/InvasionThreatRuntime.cs:542:InvasionThreatRuntime.InvasionThreatEndlessCrisisOwnershipState,1,3,,,N/A: excluded non-result signal/detail,N/A,none-found: receipt/event is not persisted as a GameplayOutcome,CaptivitySaveSection | CharacterBodyHealthSaveSection | CharacterCombatCommandSaveSection | CharacterMedicalSaveSection | InvasionSaveSection | SurgerySaveSection,,Assets/Scripts/Services/Character/Work/SettlementThreatEventAdapter.cs | Assets/Scripts/Services/Combat/CombatLoadoutPreparationRuntime.cs | Assets/Scripts/Services/Invasion/InvasionThreatRuntime.cs | Assets/Scripts/Services/Meta/MetaRuntimeApplicationAdapter.cs,
InvasionVariableSelectedEvent,struct,Assets/Scripts/Models/Run/Core/RunVariableEvents.cs,48,pre-existing-runtime-candidate,2,전투·침입·의료·생포·사망,NonResult,"Authored run configuration/cause selected for a candidate invasion, not a completed encounter result.",NonResult,"Authored run configuration/cause selected for a candidate invasion, not a completed encounter result.",True,run-variable aggregate state plus InvasionStartedEvent,Assets/Scripts/Services/Run/RunVariableSystem.cs:152-204,N/A,excluded,The saved run-variable state informs the later canonical invasion-start outcome and should be referenced as cause evidence.,1,Assets/Scripts/Services/Run/RunVariableSystem.cs:349:RunVariableRuntime.MigratedProducerOutcomeSubject,1,0,,,N/A: excluded non-result signal/detail,N/A,none-found: receipt/event is not persisted as a GameplayOutcome,CaptivitySaveSection | CharacterBodyHealthSaveSection | CharacterCombatCommandSaveSection | CharacterMedicalSaveSection | InvasionSaveSection | SurgerySaveSection,,,
IPreparedInfrastructureCommandOutcome,interface,Assets/Scripts/Services/Infrastructure/Industrial/InfrastructureCommandOutcomeContracts.cs,241,phase80-implementation-infrastructure,-1,Phase80 구현 인프라(기존 생산자 아님),NonResult,Phase80 implementation infrastructure notification/contract; not a pre-existing domain result producer,N/A,Phase80 implementation infrastructure notification/contract; not a pre-existing domain result producer,False,,,infrastructure,new-phase80-infrastructure,Phase80 implementation infrastructure notification/contract; not a pre-existing domain result producer,0,,0,0,,,N/A: excluded non-result signal/detail,N/A,none-found: receipt/event is not persisted as a GameplayOutcome,,,Assets/Scripts/Services/Infrastructure/Industrial/AutomationRuntime.cs | Assets/Scripts/Services/Infrastructure/Industrial/ConveyorRuntime.cs | Assets/Scripts/Services/Infrastructure/Industrial/ElectricalNetworkRuntime.cs | Assets/Scripts/Services/Infrastructure/Industrial/FluidNetworkRuntime.cs | Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/ProductionCombat/InfrastructureCommandOutcomeDefinition.cs,Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/ProductionCombat/InfrastructureCommandOutcomeDefinition.cs
IPreparedPhysicalItemGameplayOutcome,interface,Assets/Scripts/Services/Items/PhysicalItemGameplayOutcomeTransaction.cs,96,phase80-implementation-infrastructure,-1,Phase80 구현 인프라(기존 생산자 아님),NonResult,Phase80 implementation infrastructure notification/contract; not a pre-existing domain result producer,N/A,Phase80 implementation infrastructure notification/contract; not a pre-existing domain result producer,False,,,infrastructure,new-phase80-infrastructure,Phase80 implementation infrastructure notification/contract; not a pre-existing domain result producer,0,,0,0,,,N/A: excluded non-result signal/detail,N/A,none-found: receipt/event is not persisted as a GameplayOutcome,,,Assets/Scripts/Services/Economy/ProductionDomainOutputPublicationService.cs | Assets/Scripts/Services/Infrastructure/KnowledgeResidueCompletionTransaction.cs | Assets/Scripts/Services/Items/Diagnostics/PreparedOutputCustodyMutationGuardDebugScenarios.cs | Assets/Scripts/Services/Items/PhysicalItemBatchDispositionService.cs | Assets/Scripts/Services/Items/PhysicalItemRelocationService.cs | Assets/Scripts/Services/Items/PreparedPhysicalItemRelocationTransaction.cs | Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/Environment/CertifiedSeedOutputOutcomeParticipant.cs | Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/Environment/EnvironmentalFirePhysicalOutcomeParticipants.cs | Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/TradeInventory/TradeInventoryPhysicalDispositionOutcomeParticipant.cs | Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/TradeInventory/TradeInventoryPhysicalRelocationOutcomeParticipant.cs,Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/Environment/CertifiedSeedOutputOutcomeParticipant.cs | Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/Environment/EnvironmentalFirePhysicalOutcomeParticipants.cs | Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/TradeInventory/TradeInventoryPhysicalDispositionOutcomeParticipant.cs | Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/TradeInventory/TradeInventoryPhysicalRelocationOutcomeParticipant.cs
IPreparedProductionCommandOutcome,interface,Assets/Scripts/Models/Production/Core/ProductionBillModels.cs,1848,phase80-implementation-infrastructure,-1,Phase80 구현 인프라(기존 생산자 아님),NonResult,Phase80 implementation infrastructure notification/contract; not a pre-existing domain result producer,N/A,Phase80 implementation infrastructure notification/contract; not a pre-existing domain result producer,False,,,infrastructure,new-phase80-infrastructure,Phase80 implementation infrastructure notification/contract; not a pre-existing domain result producer,0,,0,0,,,N/A: excluded non-result signal/detail,N/A,none-found: receipt/event is not persisted as a GameplayOutcome,,,Assets/Scripts/Models/Economy/Content/ProductionBillRuntime.cs | Assets/Scripts/Models/Economy/Content/ProductionBillRuntimeDependencies.cs | Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/ProductionCombat/ProductionCommandOutcomeDefinition.cs,Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/ProductionCombat/ProductionCommandOutcomeDefinition.cs
IPreparedWastePolicyGameplayOutcome,interface,Assets/Scripts/Models/Economy/Content/WasteProcessingModels.cs,278,pre-existing-runtime-candidate,5,거래·재고·재정·서비스·손님,NonResult,"Prepared transaction handle for the waste-policy outcome, not a domain result.",NonResult,"Prepared transaction handle for the waste-policy outcome, not a domain result.",True,WastePolicyCommandResult,Assets/Scripts/Models/Economy/Content/WasteProcessingModels.cs:279-297 | Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/TradeInventory/WastePolicyGameplayOutcomeParticipant.cs:171-255,N/A,excluded,WastePolicyCommandResult is the connected terminal authority.,0,,0,0,,,N/A: excluded non-result signal/detail,N/A,none-found: receipt/event is not persisted as a GameplayOutcome,FacilityShopSaveSection | OperatingDaySettlementSaveSection | PhysicalItemsSaveSection | RegularCustomerSaveSection | TreasuryEconomySaveSection | WorldResourceSaveSection,,Assets/Scripts/Models/Economy/Content/WasteProcessingModels.cs | Assets/Scripts/Models/Economy/Content/WasteProcessingRuntime.cs | Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/TradeInventory/WastePolicyGameplayOutcomeParticipant.cs,Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/TradeInventory/WastePolicyGameplayOutcomeParticipant.cs
ItemExtractionReceipt,struct,Assets/Scripts/Services/Items/ItemTransferService.cs,239,pre-existing-runtime-candidate,5,거래·재고·재정·서비스·손님,NonResult,Reversible low-level split/extraction subreceipt used inside a parent transfer or consumption command.,NonResult,Reversible low-level split/extraction subreceipt used inside a parent transfer or consumption command.,True,parent physical relocation/disposition or domain transaction,"Assets/Scripts/Services/Items/ItemTransferService.cs:240-280,1314-1450",N/A,excluded,"The terminal relocation, disposition, purchase or domain command owns the completed outcome.",1,Assets/Scripts/Services/Items/ItemTransferService.cs:1439:ItemTransferService.ItemStackId,0,0,itemId | sourceIdentityTransferred | sourceRemainingQuantity | sourceStackId,extractedQuantity | sourceRemainingQuantity,N/A: excluded non-result signal/detail,N/A,none-found: receipt/event is not persisted as a GameplayOutcome,FacilityShopSaveSection | OperatingDaySettlementSaveSection | PhysicalItemsSaveSection | RegularCustomerSaveSection | TreasuryEconomySaveSection | WorldResourceSaveSection,,Assets/Scripts/Services/Items/ItemTransferService.cs | Assets/Scripts/Services/Items/WildlifeHaulItemRuntime.cs,
KnowledgeCompletionOutcomeReceipt,struct,Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/KnowledgeCompletionOutcomeDefinition.cs,6,phase80-implementation-infrastructure,-1,Phase80 구현 인프라(기존 생산자 아님),NonResult,Phase80 implementation infrastructure notification/contract; not a pre-existing domain result producer,N/A,Phase80 implementation infrastructure notification/contract; not a pre-existing domain result producer,False,,,infrastructure,new-phase80-infrastructure,Phase80 implementation infrastructure notification/contract; not a pre-existing domain result producer,1,Assets/Scripts/Services/Infrastructure/KnowledgeResidueCompletionTransaction.cs:83:Participant.GameplayOperationId,0,0,facilityId | facilityName,absoluteDay,N/A: excluded non-result signal/detail,N/A,none-found: receipt/event is not persisted as a GameplayOutcome,,,Assets/Scripts/Services/Infrastructure/KnowledgeResidueCompletionTransaction.cs,Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/KnowledgeCompletionOutcomeDefinition.cs
